group,policy,run_dir,checkpoint,anchor_source,anchor_seed,branch_index,future_seed,final_cumulative_return,annualized_return,annualized_volatility,max_drawdown,average_turnover
noisy,Noisy PPO,C:\Users\miaoj\Desktop\RCPO in trading\runs\noise_ppo_unconstrained_none_20260428_183102\seed_0,checkpoint_best.pt,model_training_endpoint,0,19,11919,-0.009712310593659068,-0.009712310593659068,0.12138060032837213,0.14685405881247227,0.2853573861398867
noisy,Noisy RCPO,C:\Users\miaoj\Desktop\RCPO in trading\runs\noise_rcpo_none_20260428_183113\seed_0,checkpoint_best.pt,model_training_endpoint,0,0,10000,0.050644732604518294,0.05064473260451985,0.12153222194105395,0.16452884767413528,0.23855421148861447
noisy,Noisy RCPO,C:\Users\miaoj\Desktop\RCPO in trading\runs\noise_rcpo_none_20260428_183113\seed_0,checkpoint_best.pt,model_training_endpoint,0,1,10101,0.2894512240926004,0.28945122409259993,0.1445247998488188,0.14321946615253794,0.27250388815319015
noisy,Noisy RCPO,C:\Users\miaoj\Desktop\RCPO in trading\runs\noise_rcpo_none_20260428_183113\seed_0,checkpoint_best.pt,model_training_endpoint,0,2,10202,0.03404815927705629,0.0340481592770554,0.14916146223169496,0.18173544987973567,0.2562774143935669
noisy,Noisy RCPO,C:\Users\miaoj\Desktop\RCPO in trading\runs\noise_rcpo_none_20260428_183113\seed_0,checkpoint_best.pt,model_training_endpoint,0,3,10303,0.48456801273200356,0.48456801273199757,0.1552255613884292,0.06264933746712041,0.2807728899199338
noisy,Noisy RCPO,C:\Users\miaoj\Desktop\RCPO in trading\runs\noise_rcpo_none_20260428_183113\seed_0,checkpoint_best.pt,model_training_endpoint,0,4,10404,0.33386674018333395,0.33386674018333484,0.14462426861169692,0.07504281096300248,0.2793011630160941
noisy,Noisy RCPO,C:\Users\miaoj\Desktop\RCPO in trading\runs\noise_rcpo_none_20260428_183113\seed_0,checkpoint_best.pt,model_training_endpoint,0,5,10505,0.5032922138855909,0.5032922138855898,0.14835199431316137,0.08756261466380487,0.24923727162448422
noisy,Noisy RCPO,C:\Users\miaoj\Desktop\RCPO in trading\runs\noise_rcpo_none_20260428_183113\seed_0,checkpoint_best.pt,model_training_endpoint,0,6,10606,-0.00023378866839118828,-0.00023378866839163237,0.16307487481832691,0.22806329636189665,0.29842535011647714
noisy,Noisy RCPO,C:\Users\miaoj\Desktop\RCPO in trading\runs\noise_rcpo_none_20260428_183113\seed_0,checkpoint_best.pt,model_training_endpoint,0,7,10707,0.5536712293996042,0.5536712293996056,0.12598654440624382,0.08770773362033306,0.20749470689112232
noisy,Noisy RCPO,C:\Users\miaoj\Desktop\RCPO in trading\runs\noise_rcpo_none_20260428_183113\seed_0,checkpoint_best.pt,model_training_endpoint,0,8,10808,0.13748395854260642,0.13748395854260576,0.14692998816955943,0.09114035547869759,0.2680022260174155
noisy,Noisy RCPO,C:\Users\miaoj\Desktop\RCPO in trading\runs\noise_rcpo_none_20260428_183113\seed_0,checkpoint_best.pt,model_training_endpoint,0,9,10909,0.30187720407222196,0.3018772040722242,0.1324354640931982,0.08898915754978105,0.2195875903975869
noisy,Noisy RCPO,C:\Users\miaoj\Desktop\RCPO in trading\runs\noise_rcpo_none_20260428_183113\seed_0,checkpoint_best.pt,model_training_endpoint,0,10,11010,0.40014828743249264,0.4001482874324953,0.11665186193119133,0.09727788442370715,0.21578553556982014
noisy,Noisy RCPO,C:\Users\miaoj\Desktop\RCPO in trading\runs\noise_rcpo_none_20260428_183113\seed_0,checkpoint_best.pt,model_training_endpoint,0,11,11111,-0.037322872056192,-0.03732287205619267,0.10554783244045671,0.15199381902949913,0.21222192626298655
noisy,Noisy RCPO,C:\Users\miaoj\Desktop\RCPO in trading\runs\noise_rcpo_none_20260428_183113\seed_0,checkpoint_best.pt,model_training_endpoint,0,12,11212,0.5529476851953452,0.5529476851953481,0.13972952310653813,0.08814923629348258,0.2528540435143643
noisy,Noisy RCPO,C:\Users\miaoj\Desktop\RCPO in trading\runs\noise_rcpo_none_20260428_183113\seed_0,checkpoint_best.pt,model_training_endpoint,0,13,11313,0.4048643567065253,0.40486435670652554,0.13771073560875852,0.1321686683743535,0.2657268479954274
noisy,Noisy RCPO,C:\Users\miaoj\Desktop\RCPO in trading\runs\noise_rcpo_none_20260428_183113\seed_0,checkpoint_best.pt,model_training_endpoint,0,14,11414,0.142771559307733,0.14277155930773078,0.13963528723641638,0.09359247766954681,0.2547863325148466
noisy,Noisy RCPO,C:\Users\miaoj\Desktop\RCPO in trading\runs\noise_rcpo_none_20260428_183113\seed_0,checkpoint_best.pt,model_training_endpoint,0,15,11515,-0.17833693032532927,-0.17833693032532938,0.16374543217428852,0.3186409096703473,0.31222186843672445
