policy,run_dir,checkpoint,branch_index,final_cumulative_return,annualized_return,annualized_volatility,max_drawdown,average_turnover,average_constraint_cost
PPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_143156\seed_0,checkpoint_best.pt,3,0.1497870683670044,0.1497870976031057,0.17740074661835586,0.17181557416915894,0.13631348311901093,0.00011901331163244322
PPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_143156\seed_0,checkpoint_best.pt,4,0.15882623195648193,0.15882713729658615,0.19489131277314659,0.2201569378376007,0.15040817856788635,0.005995650310069323
PPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_143156\seed_0,checkpoint_best.pt,5,0.48544251918792725,0.4854418158838829,0.16918497019123757,0.1382571905851364,0.13073478639125824,0.0008942276472225785
PPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_143156\seed_0,checkpoint_best.pt,6,0.39285778999328613,0.3928576486934354,0.18224005788922698,0.07468137890100479,0.1713763028383255,1.9061442799284123e-05
PPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_143156\seed_0,checkpoint_best.pt,7,0.0007109642028808594,0.00071062799353383,0.15724303585476226,0.16050556302070618,0.11512494832277298,0.0008166601764969528
PPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_143156\seed_0,checkpoint_best.pt,8,0.10744845867156982,0.10744885240207247,0.1719471038474649,0.1743653565645218,0.1469508558511734,0.0031945430673658848
PPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_143156\seed_0,checkpoint_best.pt,9,0.05830347537994385,0.05830271076645066,0.10671595908297825,0.0807829424738884,0.09096012264490128,6.289538578130305e-05
PPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_143156\seed_0,checkpoint_best.pt,10,-0.06549358367919922,-0.06549431227795444,0.193624432389824,0.207164004445076,0.16577303409576416,0.00038965739076957107
PPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_143156\seed_0,checkpoint_best.pt,11,-0.03192579746246338,-0.031926193839514005,0.1580932063095704,0.24791039526462555,0.13731428980827332,0.0008467831648886204
PPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_143156\seed_0,checkpoint_best.pt,12,-0.07515370845794678,-0.07515407881107017,0.17292817438412456,0.22405780851840973,0.12788082659244537,0.0004317341954447329
PPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_143156\seed_0,checkpoint_best.pt,13,0.019858241081237793,0.019858706238155666,0.16066867355135714,0.10602587461471558,0.1431993991136551,0.00019832022371701896
PPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_143156\seed_0,checkpoint_best.pt,14,0.047806620597839355,0.04780618295464523,0.1754587121760867,0.20051133632659912,0.14101344347000122,0.00039380992529913783
PPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_143156\seed_0,checkpoint_best.pt,15,0.0012603998184204102,0.0012605976653750073,0.13902428440163017,0.10841839760541916,0.11514824628829956,0.00012596853775903583
PPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_143156\seed_0,checkpoint_best.pt,16,0.34730732440948486,0.3473074107109697,0.14851736413478459,0.10799723863601685,0.13062871992588043,0.01130676455795765
PPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_143156\seed_0,checkpoint_best.pt,17,0.2275785207748413,0.22757857500323864,0.19415468564662167,0.10441963374614716,0.16063496470451355,0.001567323342896998
PPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_143156\seed_0,checkpoint_best.pt,18,0.33777332305908203,0.3377734443977609,0.1914692676584232,0.14741909503936768,0.14123471081256866,0.0028268781024962664
PPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_143156\seed_0,checkpoint_best.pt,19,0.2813434600830078,0.2813420276654388,0.1343015324536998,0.0694117546081543,0.10566931217908859,2.541507637943141e-05
PPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_162247\seed_0,checkpoint_best.pt,0,0.1657167673110962,0.1657186226675067,0.17135596889459037,0.0994490459561348,0.0028826305642724037,0.00255882041528821
PPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_162247\seed_0,checkpoint_best.pt,1,0.587478518486023,0.5874772849085574,0.1611617738935746,0.096323661506176,0.002701234072446823,0.0001822318008635193
PPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_162247\seed_0,checkpoint_best.pt,2,0.4366443157196045,0.43664435072091745,0.14214640067509293,0.0859113410115242,0.0025086160749197006,0.0
PPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_162247\seed_0,checkpoint_best.pt,3,0.22164058685302734,0.22164013494473855,0.18111047918425938,0.16783499717712402,0.0027639803010970354,4.238384644850157e-05
PPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_162247\seed_0,checkpoint_best.pt,4,0.20138323307037354,0.2013832726207727,0.19360360132868454,0.191476970911026,0.003048700513318181,8.064110261329915e-06
PPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_162247\seed_0,checkpoint_best.pt,5,0.538753867149353,0.5387541039053392,0.16920080416318956,0.12711124122142792,0.002643686020746827,0.0003796794335357845
PPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_162247\seed_0,checkpoint_best.pt,6,0.44560396671295166,0.4456051413535149,0.18711758654338093,0.06499090790748596,0.0029739225283265114,0.00012939053704030812
PPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_162247\seed_0,checkpoint_best.pt,7,-0.043192267417907715,-0.04319317040731263,0.16133843134535275,0.18132737278938293,0.0027087945491075516,0.0013326603220775723
PPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_162247\seed_0,checkpoint_best.pt,8,0.16275465488433838,0.16275402122715565,0.17197479481802147,0.17597481608390808,0.002817068248987198,0.003040018957108259
PPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_162247\seed_0,checkpoint_best.pt,9,0.030548453330993652,0.030548753800876183,0.11004169934868643,0.11188307404518127,0.002510580001398921,0.000565321184694767
PPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_162247\seed_0,checkpoint_best.pt,10,-0.07034105062484741,-0.07034079187958464,0.19659189023136348,0.21238334476947784,0.0028981135692447424,0.00038571382174268365
PPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_162247\seed_0,checkpoint_best.pt,11,-0.06490719318389893,-0.06490706395972745,0.15450931759918082,0.2394723892211914,0.0028235644567757845,9.680112998466939e-05
PPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_162247\seed_0,checkpoint_best.pt,12,-0.12149691581726074,-0.12149659815491387,0.17326376292692414,0.22924065589904785,0.00277829822152853,0.0015151120023801923
PPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_162247\seed_0,checkpoint_best.pt,13,0.035289883613586426,0.035290239200544526,0.16341349480687878,0.11128578335046768,0.0027938135899603367,0.000267986673861742
PPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_162247\seed_0,checkpoint_best.pt,14,0.012370467185974121,0.012370494387127673,0.17675133200401097,0.21500127017498016,0.0029525288846343756,0.000266586197540164
PPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_162247\seed_0,checkpoint_best.pt,15,-0.014937996864318848,-0.01493684656917349,0.14296380914871937,0.12414874881505966,0.0026276896242052317,0.0012714486801996827
PPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_162247\seed_0,checkpoint_best.pt,16,0.3877720832824707,0.38776986359783794,0.15019895856780413,0.09772038459777832,0.002666111569851637,0.005633353255689144
PPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_162247\seed_0,checkpoint_best.pt,17,0.21457958221435547,0.2145799530028647,0.1889000689545521,0.10813016444444656,0.002803642535582185,0.0007634395733475685
PPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_162247\seed_0,checkpoint_best.pt,18,0.33677029609680176,0.33677089367343394,0.19285907939261493,0.1530141979455948,0.0027887315955013037,0.0033556711860001087
PPO Dirichlet v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_ppo_unconstrained_none_20260621_162247\seed_0,checkpoint_best.pt,19,0.2561293840408325,0.2561299845705667,0.13407571724586154,0.07043921947479248,0.002499121241271496,3.797461249632761e-05
RCPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143215\seed_0,checkpoint_best.pt,0,0.23124456405639648,0.23124575923178403,0.18108046708055953,0.10732422769069672,0.008748980239033699,0.0057076821103692055
RCPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143215\seed_0,checkpoint_best.pt,1,0.5836923122406006,0.5836906729069258,0.16552922984341872,0.10501901060342789,0.008401678875088692,0.0005046473233960569
RCPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143215\seed_0,checkpoint_best.pt,2,0.4066969156265259,0.40669686329902666,0.14614370241787625,0.10327192395925522,0.007746920455247164,0.0003722569381352514
