policy,run_dir,checkpoint,branch_index,final_cumulative_return,annualized_return,annualized_volatility,max_drawdown,average_turnover,average_constraint_cost,average_allocation_constraint_1_weight,average_allocation_constraint_2_weight,average_allocation_constraint_1_violation_cost,average_allocation_constraint_2_violation_cost,average_allocation_constraint_raw_cost,average_allocation_constraint_cost
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,neutral_action,10,-0.10798275470733643,-0.1079835808834183,0.18792417291853036,0.20517103374004364,0.0,0.00023752696870360523,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,neutral_action,11,-0.0950670838356018,-0.09506671782766718,0.15042984478626753,0.24446211755275726,0.0,0.0005727050011046231,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,neutral_action,12,-0.13406574726104736,-0.1340657378264084,0.16714189992794135,0.22544100880622864,0.0,0.0004409052198752761,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,neutral_action,13,0.03654611110687256,0.03654671449621394,0.1581558916887268,0.10706496983766556,0.0,0.00012669657007791102,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,neutral_action,14,0.017042994499206543,0.017043252665465136,0.1684515808236832,0.2292208969593048,0.0,0.00029113676282577217,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,neutral_action,15,-0.01810622215270996,-0.018106624775806823,0.13552987019941376,0.10465580224990845,0.0,0.0001800263416953385,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,neutral_action,16,0.3420705795288086,0.3420706436750889,0.14105447755048175,0.07702507823705673,0.0,0.00014184691826812923,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,neutral_action,17,0.30911505222320557,0.3091149491170484,0.180114491301475,0.08943057805299759,0.0,8.851862367009744e-05,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,neutral_action,18,0.31773126125335693,0.3177313209285144,0.1826402833371378,0.13188214600086212,0.0,0.00027562002651393414,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,neutral_action,19,0.2566729784011841,0.25667178765579823,0.1279883016368397,0.0682014599442482,0.0,5.172406235942617e-05,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0
PPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,checkpoint_best.pt,0,0.12492585182189941,0.12492424123455481,0.1671571573126794,0.09244716167449951,0.19827328622341156,0.0012959345476701856,0.7728036046028137,0.6419175863265991,0.0,0.0,0.0,0.0
PPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,checkpoint_best.pt,1,0.5870192050933838,0.5870175066543528,0.15862313431204228,0.09388014674186707,0.1792459636926651,0.00018272746820002794,0.77985018491745,0.64028000831604,0.0,0.0,0.0,0.0
PPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,checkpoint_best.pt,2,0.4406980276107788,0.4406987234529851,0.13865237086435248,0.08011605590581894,0.12103403359651566,0.0,0.7840678095817566,0.6373621225357056,0.0,0.0,0.0,0.0
PPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,checkpoint_best.pt,3,0.17995166778564453,0.17995236341447418,0.17799992422365046,0.18405736982822418,0.18143659830093384,0.0004014624864794314,0.7783748507499695,0.6437336802482605,0.0,0.0,0.0,0.0
PPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,checkpoint_best.pt,4,0.17719674110412598,0.17719772075414908,0.19239421703959286,0.20879964530467987,0.2101455181837082,0.0022453858982771635,0.7819448113441467,0.649379551410675,0.0,0.0,0.0,0.0
PPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,checkpoint_best.pt,5,0.48551368713378906,0.48551167290516983,0.1684940708660642,0.12647317349910736,0.1796296089887619,0.00035723543260246515,0.7779937982559204,0.6418224573135376,0.0,0.0,0.0,0.0
PPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,checkpoint_best.pt,6,0.40944695472717285,0.40944562791912764,0.18314469365932098,0.06801634281873703,0.19770756363868713,2.186824713135138e-05,0.775269627571106,0.6413729190826416,0.0,0.0,0.0,0.0
PPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,checkpoint_best.pt,7,-0.05133265256881714,-0.051332686306941655,0.16311081608813627,0.17787110805511475,0.16533879935741425,0.0007525028195232153,0.7791387438774109,0.6403774619102478,0.0,0.0,0.0,0.0
PPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,checkpoint_best.pt,8,0.16428816318511963,0.16428835358449767,0.16749963533347118,0.15673616528511047,0.20782345533370972,0.00019400750170461833,0.7770727276802063,0.6439420580863953,0.0,0.0,0.0,0.0
PPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,checkpoint_best.pt,9,0.031218767166137695,0.031218328626672065,0.10845323853500545,0.09786088019609451,0.08240557461977005,7.425899093504995e-05,0.789469301700592,0.6367923021316528,0.0,0.0,0.0,0.0
PPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,checkpoint_best.pt,10,-0.09021115303039551,-0.09021154820567934,0.19160095130751417,0.2155950963497162,0.16234752535820007,0.00043647552956826985,0.7762201428413391,0.6393947005271912,0.0,0.0,0.0,0.0
PPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,checkpoint_best.pt,11,-0.07158368825912476,-0.07158401537007775,0.15570835288699666,0.2434314787387848,0.18302300572395325,0.0002722896751947701,0.779499351978302,0.6426444053649902,0.0,0.0,0.0,0.0
PPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,checkpoint_best.pt,12,-0.11197072267532349,-0.11197096875874968,0.17303088082964324,0.22065052390098572,0.2130490243434906,0.00045475552906282246,0.7697906494140625,0.6391178965568542,0.0,0.0,0.0,0.0
PPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,checkpoint_best.pt,13,0.0034835338592529297,0.0034834327385151465,0.160091923710256,0.12030793726444244,0.17100492119789124,0.0005740466876886785,0.7786052823066711,0.641977071762085,0.0,0.0,0.0,0.0
PPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,checkpoint_best.pt,14,0.07100296020507812,0.07100398665482666,0.17641357017094347,0.20117515325546265,0.20144760608673096,7.295876275748014e-05,0.7757102847099304,0.6432813405990601,0.0,0.0,0.0,0.0
PPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,checkpoint_best.pt,15,0.0337369441986084,0.033734944431064395,0.1421156345727287,0.1138061061501503,0.18544094264507294,0.00035648600896820426,0.7764151692390442,0.6411792635917664,0.0,0.0,0.0,0.0
PPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,checkpoint_best.pt,16,0.3750314712524414,0.3750312332795076,0.14924766358624372,0.08524864912033081,0.13981539011001587,0.001390294637531042,0.7818903923034668,0.6402259469032288,0.0,0.0,0.0,0.0
PPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,checkpoint_best.pt,17,0.29565703868865967,0.2956579074441601,0.18562329424916607,0.09995143860578537,0.21424630284309387,0.0007352253305725753,0.7712026834487915,0.641215443611145,0.0,0.0,0.0,0.0
PPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,checkpoint_best.pt,18,0.38043129444122314,0.38043127792347176,0.19009960690814423,0.11759632080793381,0.21018360555171967,0.00040678869117982686,0.7734959125518799,0.6424137949943542,0.0,0.0,0.0,0.0
PPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,checkpoint_best.pt,19,0.2517886161804199,0.25178952845675595,0.13306621652426845,0.06908787041902542,0.1305914968252182,2.7845617296407e-05,0.7835739850997925,0.6383169889450073,0.0,0.0,0.0,0.0
PPO Gaussian,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2_ppo_unconstrained_none_20260612_195706\seed_0,checkpoint_best.pt,0,0.15109670162200928,0.15109665287517893,0.16644433288908886,0.10351477563381195,0.20408418774604797,0.0041251094080507755,0.7869718074798584,0.5754881501197815,0.0,0.0,0.0,0.0
PPO Gaussian,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2_ppo_unconstrained_none_20260612_195706\seed_0,checkpoint_best.pt,1,0.6430598497390747,0.6430577943444988,0.1516378984894809,0.10111787170171738,0.15962600708007812,0.0003195499302819371,0.7619451880455017,0.564448356628418,0.0,0.0,0.0,0.0
PPO Gaussian,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2_ppo_unconstrained_none_20260612_195706\seed_0,checkpoint_best.pt,2,0.4041266441345215,0.4041258389047908,0.1370736011511519,0.094878189265728,0.09762576222419739,2.7358926672604866e-05,0.7564181089401245,0.5613903999328613,0.0,0.0,0.0,0.0
PPO Gaussian,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2_ppo_unconstrained_none_20260612_195706\seed_0,checkpoint_best.pt,3,0.11402642726898193,0.11402536502106919,0.1693380467043944,0.16922040283679962,0.13391290605068207,0.00021062781161163002,0.7721890807151794,0.5694344639778137,0.0,0.0,0.0,0.0
PPO Gaussian,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2_ppo_unconstrained_none_20260612_195706\seed_0,checkpoint_best.pt,4,0.18704140186309814,0.18704231128293847,0.18813907732216642,0.1934756189584732,0.284450501203537,6.988143286434934e-05,0.7957291603088379,0.5844672322273254,0.0,0.0,0.0,0.0
PPO Gaussian,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2_ppo_unconstrained_none_20260612_195706\seed_0,checkpoint_best.pt,5,0.406386137008667,0.4063856973215949,0.161265352612058,0.1299706995487213,0.1759905070066452,0.0004211883060634136,0.7705639004707336,0.5689921975135803,0.0,0.0,0.0,0.0
PPO Gaussian,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2_ppo_unconstrained_none_20260612_195706\seed_0,checkpoint_best.pt,6,0.3453037738800049,0.3453028261743041,0.17809517938825056,0.07662329077720642,0.21470706164836884,3.580582415452227e-05,0.7829210162162781,0.5739399790763855,0.0,0.0,0.0,0.0
PPO Gaussian,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2_ppo_unconstrained_none_20260612_195706\seed_0,checkpoint_best.pt,7,0.01479029655456543,0.014789412738992036,0.1526082060648137,0.1575314700603485,0.0992131158709526,0.0004890201380476356,0.7587968111038208,0.5623536705970764,0.0,0.0,0.0,0.0
PPO Gaussian,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2_ppo_unconstrained_none_20260612_195706\seed_0,checkpoint_best.pt,8,0.04718983173370361,0.047189990762377176,0.16423158335773191,0.16246621310710907,0.13079018890857697,0.0007189661264419556,0.7706575393676758,0.569541335105896,0.0,0.0,0.0,0.0
PPO Gaussian,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2_ppo_unconstrained_none_20260612_195706\seed_0,checkpoint_best.pt,9,0.048455119132995605,0.04845434509671609,0.1054396315399196,0.06426652520895004,0.08033552020788193,4.633501703210641e-06,0.751517653465271,0.559691309928894,0.0,0.0,0.0,0.0
PPO Gaussian,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2_ppo_unconstrained_none_20260612_195706\seed_0,checkpoint_best.pt,10,-0.09586864709854126,-0.09586921133421433,0.18448587987180393,0.21131861209869385,0.15441451966762543,0.0004440445336513221,0.7714853882789612,0.5691466331481934,0.0,0.0,0.0,0.0
PPO Gaussian,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2_ppo_unconstrained_none_20260612_195706\seed_0,checkpoint_best.pt,11,-0.056372761726379395,-0.05637356769666724,0.1554831290506599,0.2430979162454605,0.1336333006620407,0.0006259795045480132,0.7678695917129517,0.569301187992096,0.0,0.0,0.0,0.0
PPO Gaussian,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2_ppo_unconstrained_none_20260612_195706\seed_0,checkpoint_best.pt,12,-0.0787915587425232,-0.07879077713475846,0.17268606689142063,0.2179747074842453,0.1394246518611908,0.0019787221681326628,0.7730324268341064,0.5709794163703918,0.0,0.0,0.0,0.0
PPO Gaussian,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2_ppo_unconstrained_none_20260612_195706\seed_0,checkpoint_best.pt,13,0.01267242431640625,0.012673712998693576,0.15423764153140315,0.11854984611272812,0.12904711067676544,0.00036903764703311026,0.7655976414680481,0.5650326609611511,0.0,0.0,0.0,0.0
PPO Gaussian,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2_ppo_unconstrained_none_20260612_195706\seed_0,checkpoint_best.pt,14,0.04024982452392578,0.04024935566790022,0.16801810551310195,0.216678187251091,0.1528593897819519,0.00020958147069904953,0.7693756818771362,0.5689589381217957,0.0,0.0,0.0,0.0
PPO Gaussian,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2_ppo_unconstrained_none_20260612_195706\seed_0,checkpoint_best.pt,15,0.02308201789855957,0.023081288049297877,0.1348997934331671,0.09988809376955032,0.08746659755706787,4.726384190689714e-07,0.7590671181678772,0.560051679611206,0.0,0.0,0.0,0.0
PPO Gaussian,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2_ppo_unconstrained_none_20260612_195706\seed_0,checkpoint_best.pt,16,0.2825514078140259,0.28255184070309247,0.14356137526667243,0.1044611930847168,0.10288015753030777,0.009073087945580482,0.7605546116828918,0.561823308467865,0.0,0.0,0.0,0.0
PPO Gaussian,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2_ppo_unconstrained_none_20260612_195706\seed_0,checkpoint_best.pt,17,0.31419289112091064,0.3141932045753353,0.19479243545809996,0.10532546788454056,0.15012282133102417,0.0015423879958689213,0.7662630677223206,0.5672104954719543,0.0,0.0,0.0,0.0
PPO Gaussian,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2_ppo_unconstrained_none_20260612_195706\seed_0,checkpoint_best.pt,18,0.26833176612854004,0.2683319713785899,0.18584805977258922,0.15531975030899048,0.1493198424577713,0.0045791445299983025,0.7713092565536499,0.5720950365066528,0.0,0.0,0.0,0.0
PPO Gaussian,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2_ppo_unconstrained_none_20260612_195706\seed_0,checkpoint_best.pt,19,0.29898345470428467,0.298984153936932,0.13301989735141542,0.06739034503698349,0.09321968257427216,8.042363333515823e-06,0.7545900940895081,0.5598838925361633,0.0,0.0,0.0,0.0
RCPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_rcpo_none_20260620_144057\seed_0,checkpoint_best.pt,0,0.15227806568145752,0.1522771075624545,0.16271047236592517,0.09304030984640121,0.3179205656051636,0.0017849596915766597,0.7978387475013733,0.5716325640678406,0.0,0.0,0.0,0.0
RCPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_rcpo_none_20260620_144057\seed_0,checkpoint_best.pt,1,0.555282473564148,0.5552821085473807,0.1520010449442492,0.09304311126470566,0.2848930358886719,0.00023518531816080213,0.7614387273788452,0.5709441900253296,0.0,0.0,0.0,0.0
RCPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_rcpo_none_20260620_144057\seed_0,checkpoint_best.pt,2,0.4023703336715698,0.40236880785678886,0.1370801210219557,0.09179803729057312,0.2503214180469513,9.394924838090901e-09,0.7627543807029724,0.5723695158958435,0.0,0.0,0.0,0.0
RCPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_rcpo_none_20260620_144057\seed_0,checkpoint_best.pt,3,0.22216343879699707,0.22216528683155512,0.17210429039255698,0.15610578656196594,0.33089756965637207,0.00022385260672308505,0.7879351377487183,0.5854060053825378,0.0,0.0,0.0,0.0
RCPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_rcpo_none_20260620_144057\seed_0,checkpoint_best.pt,4,0.1419687271118164,0.1419682963972837,0.18777465941866991,0.1733522266149521,0.3721361458301544,5.598721691058017e-05,0.7825736403465271,0.5858880877494812,0.0,0.0,0.0,0.0
RCPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_rcpo_none_20260620_144057\seed_0,checkpoint_best.pt,5,0.46292853355407715,0.4629298413099281,0.1589969550224122,0.11919194459915161,0.2402709275484085,8.849771256791428e-05,0.7798357605934143,0.5706085562705994,0.0,0.0,0.0,0.0
RCPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_rcpo_none_20260620_144057\seed_0,checkpoint_best.pt,6,0.3915044069290161,0.3915034529600214,0.17911083037345898,0.07950645685195923,0.3483823537826538,4.378965240903199e-05,0.7796386480331421,0.5842106342315674,0.0,0.0,0.0,0.0
RCPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_rcpo_none_20260620_144057\seed_0,checkpoint_best.pt,7,-0.02262735366821289,-0.022627638275583117,0.15510819951872468,0.1499956101179123,0.2209223210811615,0.0004006845992989838,0.7901108860969543,0.565628170967102,0.0,0.0,0.0,0.0
RCPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_rcpo_none_20260620_144057\seed_0,checkpoint_best.pt,8,0.10895538330078125,0.10895425468653475,0.16674949536813755,0.17032504081726074,0.3118877708911896,0.002126734470948577,0.7885159254074097,0.5819323658943176,0.0,0.0,0.0,0.0
RCPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_rcpo_none_20260620_144057\seed_0,checkpoint_best.pt,9,0.03988516330718994,0.03988449590239029,0.10478842802678275,0.0746334046125412,0.11961806565523148,2.758760456345044e-05,0.7830941081047058,0.5578593015670776,0.0,0.0,0.0,0.0
RCPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_rcpo_none_20260620_144057\seed_0,checkpoint_best.pt,10,-0.028155088424682617,-0.02815517588221661,0.19451752163135172,0.18440532684326172,0.32000455260276794,0.00019886542577296495,0.7939119935035706,0.5729328989982605,0.0,0.0,0.0,0.0
RCPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_rcpo_none_20260620_144057\seed_0,checkpoint_best.pt,11,-0.003520667552947998,-0.0035208658583547603,0.15971109524759355,0.23752501606941223,0.24671012163162231,0.0004630441835615784,0.7835230827331543,0.5754291415214539,0.0,0.0,0.0,0.0
RCPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_rcpo_none_20260620_144057\seed_0,checkpoint_best.pt,12,-0.06930828094482422,-0.0693076929145765,0.17220857875684212,0.22439296543598175,0.23383325338363647,0.00044078310020267963,0.7837700247764587,0.5642799735069275,0.0,0.0,0.0,0.0
RCPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_rcpo_none_20260620_144057\seed_0,checkpoint_best.pt,13,0.007320523262023926,0.007320053461047804,0.1587437001769055,0.11636144667863846,0.2632633447647095,0.0006307162693701684,0.7854575514793396,0.5707743167877197,0.0,0.0,0.0,0.0
RCPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_rcpo_none_20260620_144057\seed_0,checkpoint_best.pt,14,0.024520516395568848,0.02452108060086311,0.17017418687033004,0.22303439676761627,0.3163160979747772,0.00020343363576103002,0.7731980681419373,0.573237955570221,0.0,0.0,0.0,0.0
RCPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_rcpo_none_20260620_144057\seed_0,checkpoint_best.pt,15,0.021541595458984375,0.021542116849169846,0.14059492275668545,0.09424259513616562,0.2465086430311203,0.0,0.7840769290924072,0.5691189169883728,0.0,0.0,0.0,0.0
RCPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_rcpo_none_20260620_144057\seed_0,checkpoint_best.pt,16,0.3108541965484619,0.3108550089058504,0.14395321802354985,0.08555921912193298,0.23711544275283813,0.001467054826207459,0.7771791219711304,0.5792617797851562,0.0,0.0,0.0,0.0
RCPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_rcpo_none_20260620_144057\seed_0,checkpoint_best.pt,17,0.3404233455657959,0.3404230374721027,0.1884556680554811,0.09413687139749527,0.317995548248291,0.00017434668552596122,0.7555132508277893,0.5742377042770386,0.0,0.0,0.0,0.0
RCPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_rcpo_none_20260620_144057\seed_0,checkpoint_best.pt,18,0.2591356039047241,0.25913657413209545,0.18551737961325188,0.15592628717422485,0.29010823369026184,0.0057368408888578415,0.7745174169540405,0.581197202205658,0.0,0.0,0.0,0.0
RCPO Dirichlet,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_rcpo_none_20260620_144057\seed_0,checkpoint_best.pt,19,0.2804054021835327,0.28040633349395505,0.1345027022542141,0.0656556636095047,0.22342297434806824,8.896105327949044e-07,0.7761107087135315,0.5628257393836975,0.0,0.0,0.0,0.0
RCPO Gaussian,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_rcpo_none_20260620_144107\seed_0,checkpoint_best.pt,0,0.22218990325927734,0.2221897038189109,0.1794700442077425,0.10653452575206757,0.013637525960803032,0.005303991958498955,0.9578986763954163,0.5538623332977295,0.0,0.0,0.0,0.0
