policy,run_dir,checkpoint,branch_index,final_cumulative_return,annualized_return,annualized_volatility,max_drawdown,average_turnover,average_constraint_cost,average_allocation_constraint_1_weight,average_allocation_constraint_2_weight,average_allocation_constraint_1_violation_cost,average_allocation_constraint_2_violation_cost,average_allocation_constraint_raw_cost,average_allocation_constraint_cost,average_concentration,maximum_concentration,average_max_single_asset_weight,maximum_single_asset_weight,fraction_steps_single_asset_above_70pct
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.3_ppo_unconstrained_none_20260707_204433\seed_0,neutral_action,11,-0.0950670838356018,-0.09506671782766718,0.15042984478626753,0.24446211755275726,0.0,0.0005727050011046231,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0,0.27375006675720215,0.2737500071525574,0.42500001192092896,0.42499998211860657,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.3_ppo_unconstrained_none_20260707_204433\seed_0,neutral_action,12,-0.13406574726104736,-0.1340657378264084,0.16714189992794135,0.22544100880622864,0.0,0.0004409052198752761,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0,0.27375006675720215,0.2737500071525574,0.42500001192092896,0.42499998211860657,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.3_ppo_unconstrained_none_20260707_204433\seed_0,neutral_action,13,0.03654611110687256,0.03654671449621394,0.1581558916887268,0.10706496983766556,0.0,0.00012669657007791102,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0,0.27375006675720215,0.2737500071525574,0.42500001192092896,0.42499998211860657,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.3_ppo_unconstrained_none_20260707_204433\seed_0,neutral_action,14,0.017042994499206543,0.017043252665465136,0.1684515808236832,0.2292208969593048,0.0,0.00029113676282577217,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0,0.27375006675720215,0.2737500071525574,0.42500001192092896,0.42499998211860657,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.3_ppo_unconstrained_none_20260707_204433\seed_0,neutral_action,15,-0.01810622215270996,-0.018106624775806823,0.13552987019941376,0.10465580224990845,0.0,0.0001800263416953385,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0,0.27375006675720215,0.2737500071525574,0.42500001192092896,0.42499998211860657,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.3_ppo_unconstrained_none_20260707_204433\seed_0,neutral_action,16,0.3420705795288086,0.3420706436750889,0.14105447755048175,0.07702507823705673,0.0,0.00014184691826812923,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0,0.27375006675720215,0.2737500071525574,0.42500001192092896,0.42499998211860657,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.3_ppo_unconstrained_none_20260707_204433\seed_0,neutral_action,17,0.30911505222320557,0.3091149491170484,0.180114491301475,0.08943057805299759,0.0,8.851862367009744e-05,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0,0.27375006675720215,0.2737500071525574,0.42500001192092896,0.42499998211860657,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.3_ppo_unconstrained_none_20260707_204433\seed_0,neutral_action,18,0.31773126125335693,0.3177313209285144,0.1826402833371378,0.13188214600086212,0.0,0.00027562002651393414,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0,0.27375006675720215,0.2737500071525574,0.42500001192092896,0.42499998211860657,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.3_ppo_unconstrained_none_20260707_204433\seed_0,neutral_action,19,0.2566729784011841,0.25667178765579823,0.1279883016368397,0.0682014599442482,0.0,5.172406235942617e-05,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0,0.27375006675720215,0.2737500071525574,0.42500001192092896,0.42499998211860657,0.0
PPO Gaussian v2.3,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.3_ppo_unconstrained_none_20260707_204433\seed_0,checkpoint_best.pt,0,0.09682643413543701,0.09682726876920911,0.18542644146061255,0.14823263883590698,0.33539703488349915,0.026415804401040077,0.8094132542610168,0.744539737701416,0.0,0.0,0.0,0.0,0.5203279852867126,0.9896824955940247,0.6425231099128723,0.9948180317878723,0.36904761904761907
