policy,training_seed,branch_index,run_dir,checkpoint,final_cumulative_return,annualized_return,annualized_volatility,max_drawdown,average_turnover,average_constraint_cost,average_effective_drawdown_budget_squared,average_allocation_constraint_raw_cost,average_concentration,maximum_single_asset_weight
Constrained-neutral baseline,3,0,seed-specific-anchor,neutral_action,0.19335293769836426,0.1933527063437166,0.12793744368771282,0.07001682370901108,0.0,1.7995907910517417e-05,0.0025210196617990732,0.0,0.1787654310464859,0.27407407760620117
Constrained-neutral baseline,3,1,seed-specific-anchor,neutral_action,-0.05094623565673828,-0.050946647720442106,0.15327871785747374,0.1934886872768402,0.0,0.0018781990511342883,0.015391984954476357,0.0,0.1787654310464859,0.27407407760620117
Constrained-neutral baseline,3,2,seed-specific-anchor,neutral_action,0.21090900897979736,0.2109094037523247,0.13335017833498927,0.09222452342510223,0.0,0.00012918405991513282,0.002944039413705468,0.0,0.1787654310464859,0.27407407760620117
Constrained-neutral baseline,3,3,seed-specific-anchor,neutral_action,-0.411268949508667,-0.41126919959839525,0.19939556773556943,0.442567378282547,0.0,0.00625491701066494,0.05114961788058281,0.0,0.1787654310464859,0.27407407760620117
Constrained-neutral baseline,3,4,seed-specific-anchor,neutral_action,-0.08829385042190552,-0.08829451935489452,0.18339741627047637,0.1958364099264145,0.0,0.0005038559902459383,0.005325237289071083,0.0,0.1787654310464859,0.27407407760620117
Constrained-neutral baseline,3,5,seed-specific-anchor,neutral_action,0.1264784336090088,0.12647806795163796,0.1297111738006622,0.09992187470197678,0.0,0.000136096597998403,0.0029666831251233816,0.0,0.1787654310464859,0.27407407760620117
Constrained-neutral baseline,3,6,seed-specific-anchor,neutral_action,0.14242589473724365,0.142425851524004,0.1819978764750854,0.13941819965839386,0.0,0.0005003463593311608,0.005443105008453131,0.0,0.1787654310464859,0.27407407760620117
Constrained-neutral baseline,3,7,seed-specific-anchor,neutral_action,0.16814053058624268,0.1681411785666771,0.1536527159792941,0.07724812626838684,0.0,2.5596811610739678e-05,0.0025276197120547295,0.0,0.1787654310464859,0.27407407760620117
Constrained-neutral baseline,3,8,seed-specific-anchor,neutral_action,0.5828139781951904,0.5828128650177207,0.15409485488237198,0.08697152882814407,0.0,3.947450750274584e-05,0.002597436076030135,0.0,0.1787654310464859,0.27407407760620117
Constrained-neutral baseline,3,9,seed-specific-anchor,neutral_action,0.10871410369873047,0.10871378044898994,0.14451153185809248,0.1378287523984909,0.0,0.0003276508068665862,0.004046711605042219,0.0,0.1787654310464859,0.27407407760620117
Constrained-neutral baseline,3,10,seed-specific-anchor,neutral_action,0.004902362823486328,0.0049019402435697135,0.16602098481547037,0.1205429956316948,0.0,0.00048240492469631135,0.004824609495699406,0.0,0.1787654310464859,0.27407407760620117
Constrained-neutral baseline,3,11,seed-specific-anchor,neutral_action,0.26509296894073486,0.2650935670592267,0.14711469007043576,0.08461140096187592,0.0,9.072858665604144e-05,0.002779184840619564,0.0,0.1787654310464859,0.27407407760620117
Constrained-neutral baseline,3,12,seed-specific-anchor,neutral_action,-0.12817329168319702,-0.1281734038214063,0.1649159184592389,0.19920991361141205,0.0,0.00184963911306113,0.015356640331447124,0.0,0.1787654310464859,0.27407407760620117
Constrained-neutral baseline,3,13,seed-specific-anchor,neutral_action,0.5900229215621948,0.5900218346775192,0.15906990069711918,0.061022061854600906,0.0,1.4942028201403446e-06,0.002502048620954156,0.0,0.1787654310464859,0.27407407760620117
Constrained-neutral baseline,3,14,seed-specific-anchor,neutral_action,-0.13875925540924072,-0.1387592212474026,0.12230091927999065,0.22651657462120056,0.0,0.001039739465340972,0.010054280050098896,0.0,0.1787654310464859,0.27407407760620117
Constrained-neutral baseline,3,15,seed-specific-anchor,neutral_action,0.167633056640625,0.16763346839298965,0.1684335735614633,0.11503957957029343,0.0,0.0002118616394000128,0.003430451499298215,0.0,0.1787654310464859,0.27407407760620117
Constrained-neutral baseline,3,16,seed-specific-anchor,neutral_action,0.02844679355621338,0.02844542823031926,0.1389305224500713,0.12150313705205917,0.0,0.0002137797710020095,0.003415570594370365,0.0,0.1787654310464859,0.27407407760620117
Constrained-neutral baseline,3,17,seed-specific-anchor,neutral_action,-0.13467401266098022,-0.13467420738495972,0.18201810138043584,0.2303505688905716,0.0,0.0011411436134949327,0.010684567503631115,0.0,0.1787654310464859,0.27407407760620117
Constrained-neutral baseline,3,18,seed-specific-anchor,neutral_action,0.1695845127105713,0.1695849987278817,0.09342001316458179,0.06127838045358658,0.0,1.8735734556685202e-05,0.002511092694476247,0.0,0.1787654310464859,0.27407407760620117
Constrained-neutral baseline,3,19,seed-specific-anchor,neutral_action,0.023746848106384277,0.02374686325972508,0.18286924759822143,0.22170403599739075,0.0,0.0011956027010455728,0.010457286611199379,0.0,0.1787654310464859,0.27407407760620117
Q80 lambda-up 0.00025,3,0,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr025_rcpo_none_20260831_200122\seed_3,checkpoint_best_return.pt,0.26529669761657715,0.2652973558086147,0.1410025699169398,0.06812979280948639,0.10143791884183884,5.543061706703156e-05,0.0025210196617990732,0.0,0.2297394722700119,0.4084435999393463
