policy,run_dir,checkpoint,branch_index,final_cumulative_return,annualized_return,annualized_volatility,max_drawdown,average_turnover,average_constraint_cost,average_allocation_constraint_1_weight,average_allocation_constraint_2_weight,average_allocation_constraint_1_violation_cost,average_allocation_constraint_2_violation_cost,average_allocation_constraint_raw_cost,average_allocation_constraint_cost,average_concentration,maximum_concentration,average_max_single_asset_weight,maximum_single_asset_weight,fraction_steps_single_asset_above_70pct
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,neutral_action,0,-0.3451191186904907,-0.3451192079191975,0.16135785789917623,0.4091864228248596,0.0,0.006643644068390131,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,neutral_action,1,-0.009317934513092041,-0.00931826623416876,0.12577568516407056,0.11952340602874756,0.0,0.0004495750763453543,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,neutral_action,2,-0.07227718830108643,-0.07227760237901226,0.12009043913677062,0.1766023188829422,0.0,0.0005255909636616707,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,neutral_action,3,0.1607292890548706,0.1607299647884941,0.16029192555205488,0.16551998257637024,0.0,0.00044818196329288185,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,neutral_action,4,-0.0773165225982666,-0.07731627210873826,0.17654204562963893,0.179895281791687,0.0,0.002378166653215885,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,neutral_action,5,-0.38917869329452515,-0.38917841693813326,0.16059974920286021,0.43527746200561523,0.0,0.0037038372829556465,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,neutral_action,6,0.03783130645751953,0.037832260842864285,0.16520184658020212,0.1268414556980133,0.0,0.0007170882890932262,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,neutral_action,7,0.04404342174530029,0.04404317025297355,0.13725003683861703,0.11817288398742676,0.0,0.0007905776728875935,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,neutral_action,8,-0.29806768894195557,-0.29806801725569854,0.13753008081314055,0.29813146591186523,0.0,0.0024457520339637995,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,neutral_action,9,0.053789615631103516,0.05378965699518923,0.09084485639283335,0.06442702561616898,0.0,0.00020793387375306338,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,neutral_action,10,0.10754382610321045,0.10754367517492791,0.15262296078377552,0.15370143949985504,0.0,0.00012468047498259693,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,neutral_action,11,0.031745195388793945,0.03174489248931556,0.16816622928993394,0.19781698286533356,0.0,0.001534151379019022,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,neutral_action,12,0.2420496940612793,0.24205004792472584,0.1543468678477256,0.11279470473527908,0.0,0.001058082445524633,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,neutral_action,13,0.8060946464538574,0.806096998201913,0.1314258702534768,0.04255833849310875,0.0,0.0,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,neutral_action,14,0.1811389923095703,0.1811391762507366,0.16099071968677295,0.07330004870891571,0.0,0.0002757458423729986,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,neutral_action,15,-0.03240013122558594,-0.032400418886622595,0.14155607885803295,0.1761462688446045,0.0,0.0016265673330053687,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,neutral_action,16,-0.12280827760696411,-0.12280803691519981,0.1424697921806746,0.20004552602767944,0.0,0.003281653393059969,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,neutral_action,17,0.2646443843841553,0.2646444049856693,0.1767519825126626,0.09515461325645447,0.0,0.0006913177203387022,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,neutral_action,18,0.1635289192199707,0.16352939117526244,0.14110839584712875,0.13407489657402039,0.0,0.0006740069948136806,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,neutral_action,19,0.11904001235961914,0.11904000275981863,0.10711336812411329,0.060492489486932755,0.0,0.000124438782222569,0.6666666865348816,0.4888889193534851,0.0,0.0,0.0,0.0,0.1787654310464859,0.1787654459476471,0.27407407760620117,0.27407407760620117,0.0
PPO Gaussian v2.5,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,checkpoint_best.pt,0,-0.4254835844039917,-0.4254835895382163,0.17690525122155742,0.4763266146183014,0.3967657685279846,0.04860398545861244,0.5414512157440186,0.441223680973053,0.0,0.0,0.0,0.0,0.2572460472583771,0.3673327565193176,0.3546619117259979,0.48137030005455017,0.0
PPO Gaussian v2.5,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,checkpoint_best.pt,1,0.03379058837890625,0.03379053788275388,0.14138045630638238,0.15209774672985077,0.33025628328323364,0.003408173331990838,0.5393193960189819,0.44558006525039673,0.0,0.0,0.0,0.0,0.2521197199821472,0.3860194683074951,0.34332209825515747,0.4972684979438782,0.0
PPO Gaussian v2.5,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,checkpoint_best.pt,2,-0.0606653094291687,-0.06066524001138174,0.13830362430564508,0.1627962738275528,0.29137086868286133,9.218428021995351e-05,0.5386403203010559,0.44515421986579895,0.0,0.0,0.0,0.0,0.2458745241165161,0.4039528965950012,0.3333510756492615,0.4707711338996887,0.0
PPO Gaussian v2.5,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,checkpoint_best.pt,3,0.11709940433502197,0.11709971802114905,0.17953853981190085,0.1906188428401947,0.35850808024406433,0.005185334011912346,0.5374171137809753,0.4574470818042755,0.0,0.0,0.0,0.0,0.25630760192871094,0.37232935428619385,0.3522840142250061,0.46580925583839417,0.0
PPO Gaussian v2.5,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,checkpoint_best.pt,4,-0.05310457944869995,-0.05310408110840037,0.18849032242546754,0.1908363699913025,0.38222625851631165,0.004387012682855129,0.5385324954986572,0.4502551853656769,0.0,0.0,0.0,0.0,0.2593552768230438,0.4091212749481201,0.35573577880859375,0.4846024513244629,0.0
PPO Gaussian v2.5,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,checkpoint_best.pt,5,-0.2767390012741089,-0.27673928407629844,0.16948194217499082,0.39527952671051025,0.31710293889045715,0.0009744939161464572,0.5379483699798584,0.4436982274055481,0.0,0.0,0.0,0.0,0.2631414532661438,0.3834720849990845,0.3589420020580292,0.4880112111568451,0.0
PPO Gaussian v2.5,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,checkpoint_best.pt,6,0.045153021812438965,0.04515270358570245,0.17907286432306427,0.13492494821548462,0.37861505150794983,0.0007872283458709717,0.5408421158790588,0.4447445869445801,0.0,0.0,0.0,0.0,0.2570688724517822,0.40961188077926636,0.3565649688243866,0.4785507917404175,0.0
PPO Gaussian v2.5,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.5_ppo_gaussian_ppo_unconstrained_none_20260726_153052\seed_0,checkpoint_best.pt,7,0.06823110580444336,0.06823176970842582,0.15125094933177818,0.1372593194246292,0.32048967480659485,0.004435116425156593,0.5394980907440186,0.445156455039978,0.0,0.0,0.0,0.0,0.24990390241146088,0.39432263374328613,0.34252265095710754,0.46816444396972656,0.0
